candidate_id,model,prompt_arn,actual_model_id,translation_latency_ms,policy_pass,policy_violations
4b9c8927cb43ef79,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1229.28,True,[]
a6ef4b9966fd1b3d,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1198.8,True,[]
675ca149bf4744f0,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1243.53,True,[]
32bd7856cdb1e348,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1204.41,True,[]
f93ef3340b17e316,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1081.07,True,[]
a32b9e4fba156491,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1375.22,True,[]
e3ed10620ef58fbf,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1181.44,False,"[{""code"":""source_copied""}]"
96cf1d2c665205ec,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1190.32,True,[]
8bb0a0bd42d92890,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1201.64,True,[]
db09ef4640c9b865,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1285.8,True,[]
